Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0001806,Caddo Parish,22017,2020-05-01,hCoV-19/USA/LA-EVTL073/2020,Caddo Parish,22017,2020-05-04,3
NODE_0001806,Caddo Parish,22017,2020-05-01,NODE_0001855,Caddo Parish,22017,2020-05-05,4
NODE_0001855,Caddo Parish,22017,2020-05-05,hCoV-19/USA/LA-EVTL160/2020,Caddo Parish,22017,2020-05-11,6
NODE_0001855,Caddo Parish,22017,2020-05-05,hCoV-19/USA/LA-EVTL127/2020,Caddo Parish,22017,2020-05-07,2
NODE_0001866,Bossier Parish,22015,2020-07-02,hCoV-19/USA/LA-EVTL902/2020,Webster Parish,22119,2020-07-07,5
NODE_0001866,Bossier Parish,22015,2020-07-02,NODE_0001872,Bossier Parish,22015,2020-07-08,6
NODE_0001872,Bossier Parish,22015,2020-07-08,hCoV-19/USA/LA-EVTL702/2020,Bossier Parish,22015,2020-07-13,5
NODE_0001872,Bossier Parish,22015,2020-07-08,NODE_0002180,Bossier Parish,22015,2020-07-12,4
NODE_0002180,Bossier Parish,22015,2020-07-12,hCoV-19/USA/LA-EVTL509/2020,Bossier Parish,22015,2020-07-30,18
NODE_0001866,Bossier Parish,22015,2020-07-02,NODE_0001887,Bossier Parish,22015,2020-07-05,3
NODE_0001887,Bossier Parish,22015,2020-07-05,NODE_0001871,Bossier Parish,22015,2020-08-16,42
NODE_0001871,Bossier Parish,22015,2020-08-16,hCoV-19/USA/LA-EVTL1012/2020,Bossier Parish,22015,2020-08-23,7
NODE_0001887,Bossier Parish,22015,2020-07-05,NODE_0001889,Bossier Parish,22015,2020-07-10,5
NODE_0001889,Bossier Parish,22015,2020-07-10,hCoV-19/USA/LA-EVTL665/2020,Caddo Parish,22017,2020-07-10,0
NODE_0001889,Bossier Parish,22015,2020-07-10,NODE_0001891,Bossier Parish,22015,2020-07-13,3
