Source,from_loc,from_geoid,from_date_1,Target,to_loc,to_geoid,to_date_1,date_gap
NODE_0002293,Bossier Parish,22015,2020-12-05,NODE_0002294,Bossier Parish,22015,2020-12-09,4
NODE_0002294,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1345/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002294,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1321/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002278,Bossier Parish,22015,2020-11-26,NODE_0002296,Bossier Parish,22015,2020-11-28,2
NODE_0002296,Bossier Parish,22015,2020-11-28,NODE_0002297,Bossier Parish,22015,2020-12-01,3
NODE_0002297,Bossier Parish,22015,2020-12-01,NODE_0002298,Bossier Parish,22015,2020-12-05,4
NODE_0002298,Bossier Parish,22015,2020-12-05,NODE_0002299,Bossier Parish,22015,2020-12-09,4
NODE_0002299,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1329/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002299,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1410/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002298,Bossier Parish,22015,2020-12-05,NODE_0002302,Bossier Parish,22015,2020-12-09,4
NODE_0002302,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1413/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002297,Bossier Parish,22015,2020-12-01,NODE_0002303,Bossier Parish,22015,2020-12-05,4
NODE_0002303,Bossier Parish,22015,2020-12-05,NODE_0002307,Bossier Parish,22015,2020-12-09,4
NODE_0002307,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1347/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002296,Bossier Parish,22015,2020-11-28,NODE_0002308,Bossier Parish,22015,2020-12-01,3
NODE_0002308,Bossier Parish,22015,2020-12-01,NODE_0002310,Bossier Parish,22015,2020-12-05,4
NODE_0002310,Bossier Parish,22015,2020-12-05,NODE_0002313,Bossier Parish,22015,2020-12-09,4
NODE_0002313,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1331/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002313,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1338/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002310,Bossier Parish,22015,2020-12-05,NODE_0002314,Bossier Parish,22015,2020-12-09,4
NODE_0002314,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1295/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002314,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1389/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002308,Bossier Parish,22015,2020-12-01,NODE_0002316,Bossier Parish,22015,2020-12-05,4
NODE_0002316,Bossier Parish,22015,2020-12-05,NODE_0002317,Bossier Parish,22015,2020-12-09,4
NODE_0002317,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1366/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002317,Bossier Parish,22015,2020-12-09,hCoV-19/USA/LA-EVTL1356/2020,Bossier Parish,22015,2020-12-10,1
NODE_0002195,Caddo Parish,22017,2020-05-18,NODE_0002319,Caddo Parish,22017,2020-05-20,2
NODE_0002319,Caddo Parish,22017,2020-05-20,NODE_0002320,Caddo Parish,22017,2020-05-23,3
NODE_0002320,Caddo Parish,22017,2020-05-23,NODE_0002172,Caddo Parish,22017,2020-06-24,32
