from,to,prob
22001,22001,0.4443871128224727
22001,22003,0.007277818313859693
22001,22005,0.0023268556024473456
22001,22007,0.0001342527176488438
22001,22009,0.001996068117326289
22001,22011,0.001203859787588924
22001,22013,1.6110348039769947e-05
22001,22015,0.0007079208549333119
22001,22017,0.0005839451384284908
22001,22019,0.02547899530010604
22001,22021,3.149364553601535e-05
22001,22023,0.0010616139653965343
22001,22025,0.00025829312509096546
22001,22027,4.949143261836773e-06
22001,22029,2.4241599100462443e-05
22001,22031,8.699155995945284e-05
22001,22033,0.008304075291278195
22001,22035,3.6048307118897494e-08
22001,22037,8.370167826967068e-05
22001,22039,0.017862891364957483
22001,22041,2.4071797114835066e-05
22001,22043,0.00025717160209437045
22001,22045,0.016403404033149382
22001,22047,0.0009319586709931194
22001,22049,0.00016960252442797157
22001,22051,0.00298474831257758
22001,22053,0.06307197801273953
22001,22055,0.2329963719711854
22001,22057,0.0007822537600514479
22001,22059,0.00022426505841025238
22001,22061,0.00021192720502899686
22001,22063,0.001546600091629804
22001,22065,4.915929295994887e-07
22001,22067,9.56174239219619e-06
22001,22069,0.0008422601800171218
22001,22071,0.005004853726891228
22001,22073,0.00012857935061791638
22001,22075,0.0003889129175514886
22001,22077,0.0007023260525549483
22001,22079,0.0026169075159663178
22001,22081,1.6885684314685123e-05
22001,22083,2.099842446969627e-06
22001,22085,0.00017101113010954043
22001,22087,0.00012780401937234555
22001,22089,0.000289485527789887
22001,22091,3.264294722439655e-05
22001,22093,8.083877532525504e-05
22001,22095,0.00037374275449469235
22001,22097,0.07553518712625928
22001,22099,0.019009723529687644
22001,22101,0.00384240455878951
22001,22103,0.0013939296515431785
22001,22105,0.0005352601780217587
22001,22107,3.504736905874816e-06
22001,22109,0.001046486641392454
22001,22111,9.50806695851665e-05
22001,22113,0.053601989624131305
22001,22115,0.0003985923547688992
22001,22117,3.878860478221352e-05
22001,22119,2.440107108930101e-05
22001,22121,0.00202362208184426
22001,22123,4.943581596047161e-06
22001,22125,0.00019994667410034924
22001,22127,2.215569209215664e-05
22003,22001,0.021087414482250478
22003,22003,0.35720109776823417
22003,22005,0.0014522703195876492
22003,22007,5.6952736297574166e-05
22003,22009,0.015491904824947063
22003,22011,0.04664068400185831
22003,22013,7.457480450314251e-05
22003,22015,0.0026396733500719696
22003,22017,0.005070098709714065
22003,22019,0.1611213637872464
22003,22021,0.00034723531429665
22003,22023,0.004385574521146373
22003,22025,0.0013612017497575222
22003,22027,3.266410744398075e-05
22003,22029,0.0005951772065381323
22003,22031,0.0003989174291314866
22003,22033,0.006179434935356324
22003,22035,3.939280793022761e-08
22003,22037,4.458121586445695e-05
22003,22039,0.040048419544334246
22003,22041,0.00218859801146498
22003,22043,0.009272940742862881
22003,22045,0.000947877651412001
22003,22047,0.0006406534263857526
22003,22049,4.457245292974361e-05
22003,22051,0.0016824263717644546
22003,22053,0.03287749930169101
22003,22055,0.012622857433112193
22003,22057,0.00060031326597748
22003,22059,0.0036609129647013922
22003,22061,0.0005500739346514756
22003,22063,0.001364500699514294
22003,22065,1.0212372519709803e-06
22003,22067,3.501574837593525e-05
22003,22069,0.0023759547787801914
22003,22071,0.002318999668762809
22003,22073,0.0007310496312361693
22003,22075,6.689584965910357e-05
22003,22077,0.00023691821036123486
22003,22079,0.1868378827493462
22003,22081,0.00017140501044577992
22003,22083,7.682212629005113e-06
22003,22085,0.000989986043332696
22003,22087,0.00010426942140003347
22003,22089,9.246050665569984e-05
22003,22091,4.368887107716829e-05
22003,22093,3.635710054906868e-05
22003,22095,8.826742354517768e-05
22003,22097,0.030509529577627436
22003,22099,0.0012214127465144848
22003,22101,0.0004434881774522922
22003,22103,0.0015139515018337028
22003,22105,0.0001457686626320197
22003,22107,1.555063342541217e-07
22003,22109,0.0005446124417839489
22003,22111,0.0013685357079194895
22003,22113,0.0036798626175709626
